hex,count_good_aircraft,count_bad_aircraft
842a94bffffffff,221,0
842a941ffffffff,57,0
842a943ffffffff,94,0
84266b5ffffffff,327,0
84264c9ffffffff,215,0
84264c1ffffffff,94,0
84264c5ffffffff,93,0
84264e9ffffffff,175,0
84489c1ffffffff,731,124
842a135ffffffff,472,0
8444dd9ffffffff,356,91
8444dd1ffffffff,329,12
8444dd3ffffffff,204,0
8426ca9ffffffff,690,14
8426c85ffffffff,644,12
8426759ffffffff,368,0
8448cd3ffffffff,101,0
8429b2dffffffff,181,0
8429b29ffffffff,902,51
8427823ffffffff,46,0
842783dffffffff,50,0
8427831ffffffff,59,0
8427839ffffffff,54,0
842783bffffffff,33,0
8427817ffffffff,27,0
841b8a5ffffffff,17,0
841b8a7ffffffff,0,2
841b8a3ffffffff,0,31
841b8bdffffffff,0,25
841b8b1ffffffff,0,22
8444ee3ffffffff,442,0
842662dffffffff,116,0
8426629ffffffff,82,0
8426605ffffffff,66,0
8444d95ffffffff,105,0
8444d91ffffffff,168,0
8444d9bffffffff,149,0
842a9b3ffffffff,173,3
8444d8bffffffff,353,0
8444dd7ffffffff,331,0
842adedffffffff,19,0
842ad17ffffffff,91,0
842ad15ffffffff,129,0
842ad1dffffffff,80,0
842ad0bffffffff,127,3
84266b1ffffffff,143,0
844468bffffffff,418,12
844469dffffffff,291,0
8429a07ffffffff,453,0
8429a39ffffffff,489,0
8429a15ffffffff,860,0
8429a17ffffffff,145,5
8448d59ffffffff,14,0
8448c65ffffffff,39,0
8448c61ffffffff,459,0
8426f69ffffffff,71,0
8426f4dffffffff,163,0
8426f49ffffffff,212,0
84261b5ffffffff,185,0
84265ebffffffff,165,0
84265e1ffffffff,214,0
84265e5ffffffff,137,0
8426ed9ffffffff,97,0
8429a67ffffffff,220,0
8448cd7ffffffff,53,0
84264c7ffffffff,67,0
84264c3ffffffff,150,35
8426463ffffffff,564,12
8444d97ffffffff,83,0
8444d93ffffffff,197,0
842a997ffffffff,115,12
842a9bbffffffff,122,0
8426dbdffffffff,251,0
8444a91ffffffff,241,72
8444a1bffffffff,1641,1
8444b41ffffffff,8,1
8444b45ffffffff,31,0
8444b69ffffffff,13,0
842ab15ffffffff,258,0
842ab11ffffffff,115,83
842ab1bffffffff,181,0
842aa27ffffffff,209,0
8426707ffffffff,175,0
8426703ffffffff,93,0
845d149ffffffff,20,0
845d335ffffffff,99,0
845d33dffffffff,48,0
845d339ffffffff,36,0
844472bffffffff,63,0
8444707ffffffff,35,0
8444739ffffffff,89,0
8444715ffffffff,94,0
8448587ffffffff,58,0
84485b9ffffffff,174,0
8448595ffffffff,23,0
84485bbffffffff,237,0
8448597ffffffff,312,5
8426e87ffffffff,152,0
8426eabffffffff,350,0
8426ea3ffffffff,156,0
8426a91ffffffff,197,0
8426a99ffffffff,102,0
84261a5ffffffff,174,0
84261a1ffffffff,198,0
84261a9ffffffff,39,0
842a5ddffffffff,42,4
842a5d1ffffffff,31,0
842a5dbffffffff,2,0
842a5d3ffffffff,27,0
842a4adffffffff,7,0
842a4a5ffffffff,23,0
842a4a1ffffffff,11,0
842a4a7ffffffff,8,0
8444203ffffffff,5,0
844420bffffffff,67,0
8444257ffffffff,39,0
8444253ffffffff,38,0
844425bffffffff,5,0
844552dffffffff,2,0
8444081ffffffff,123,0
8444085ffffffff,236,0
8444d1bffffffff,274,0
8444dcdffffffff,390,0
842a8a1ffffffff,210,0
842a8adffffffff,118,0
842a8a9ffffffff,61,9
842a8e7ffffffff,129,0
842a8e3ffffffff,95,0
842a8ebffffffff,141,0
8444d4bffffffff,91,0
8444f35ffffffff,92,0
844cc41ffffffff,39,0
844cc43ffffffff,158,30
844cc55ffffffff,35,0
844cc57ffffffff,37,0
844cc19ffffffff,3,0
8448eb3ffffffff,537,0
8448eb9ffffffff,583,0
8448ebdffffffff,161,0
84446cbffffffff,877,162
84446c1ffffffff,862,0
84446cdffffffff,85,0
8444613ffffffff,54,0
844461bffffffff,63,0
84458cbffffffff,50,0
8445ab5ffffffff,24,0
8445ab1ffffffff,36,0
8445ab9ffffffff,24,0
8445a95ffffffff,20,0
